,Unnamed: 0,Company,Bar Name,Review_date,Cocoa_percent,Company_location,Rating,Bean_origin
0,0,A. Morin,Agua Grande,2016,63,France,3.75,Sao Tome
1,1,A. Morin,Kpime,2015,70,France,2.75,Togo
2,2,A. Morin,Atsane,2015,70,France,3.0,Togo
3,3,A. Morin,Akata,2015,70,France,3.5,Togo
4,4,A. Morin,Quilla,2015,70,France,3.5,Peru
5,5,A. Morin,Carenero,2014,70,France,2.75,Venezuela
6,6,A. Morin,Cuba,2014,70,France,3.5,Cuba
7,7,A. Morin,Sur del Lago,2014,70,France,3.5,Venezuela
8,8,A. Morin,Puerto Cabello,2014,70,France,3.75,Venezuela
9,9,A. Morin,Pablino,2014,70,France,4.0,Peru
10,10,A. Morin,Panama,2013,70,France,2.75,Panama
11,11,A. Morin,Madagascar,2013,70,France,3.0,Madagascar
12,12,A. Morin,Brazil,2013,70,France,3.25,Brazil
13,13,A. Morin,Equateur,2013,70,France,3.75,Ecuador
14,14,A. Morin,Colombie,2013,70,France,2.75,Colombia
15,15,A. Morin,Birmanie,2013,70,France,3.0,Burma
16,16,A. Morin,Papua New Guinea,2013,70,France,3.25,Papua New Guinea
17,17,A. Morin,Chuao,2013,70,France,4.0,Venezuela
18,18,A. Morin,Piura,2013,70,France,3.25,Peru
19,19,A. Morin,Chanchamayo Province,2013,70,France,3.5,Peru
20,20,A. Morin,Chanchamayo Province,2013,63,France,4.0,Peru
21,21,A. Morin,Bolivia,2012,70,France,3.5,Bolivia
22,22,A. Morin,Peru,2012,63,France,3.75,Peru
23,23,Acalli,"Chulucanas, El Platanal",2015,70,U.S.A.,3.75,Peru
24,24,Acalli,"Tumbes, Norandino",2015,70,U.S.A.,3.75,Peru
25,25,Adi,Vanua Levu,2011,60,Fiji,2.75,Fiji
26,26,Adi,"Vanua Levu, Toto-A",2011,80,Fiji,3.25,Fiji
27,27,Adi,Vanua Levu,2011,88,Fiji,3.5,Fiji
28,28,Adi,"Vanua Levu, Ami-Ami-CA",2011,72,Fiji,3.5,Fiji
29,29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55,Ecuador,2.75,Ecuador
30,30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70,Ecuador,3.0,Ecuador
31,31,Ah Cacao,Tabasco,2009,70,Mexico,3.0,Mexico
32,32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75,Switzerland,3.75,Indonesia
33,33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75,Switzerland,2.75,Madagascar
34,34,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75,Switzerland,2.75,Brazil
35,35,Alain Ducasse,Trinite,2014,65,France,2.75,Trinidad
36,36,Alain Ducasse,Vietnam,2014,75,France,2.75,Vietnam
37,37,Alain Ducasse,Madagascar,2014,75,France,3.0,Madagascar
38,38,Alain Ducasse,Chuao,2013,75,France,2.5,Venezuela
39,39,Alain Ducasse,"Piura, Perou",2013,75,France,2.5,Peru
40,40,Alexandre,"Winak Coop, Napo",2017,70,Netherlands,3.5,Ecuador
41,41,Alexandre,"La Dalia, Matagalpa",2017,70,Netherlands,3.5,Nicaragua
42,42,Alexandre,Tien Giang,2017,70,Netherlands,3.5,Vietnam
43,43,Alexandre,"Makwale Village, Kyela",2017,70,Netherlands,3.5,Tanzania
44,44,Altus aka Cao Artisan,Momotombo,2016,60,U.S.A.,2.75,Nicaragua
45,45,Altus aka Cao Artisan,Acopagro,2016,60,U.S.A.,3.0,Peru
46,46,Altus aka Cao Artisan,CIAAB Coop,2016,60,U.S.A.,2.5,Bolivia
47,47,Altus aka Cao Artisan,Villa Andina,2016,60,U.S.A.,2.5,Peru
48,48,Altus aka Cao Artisan,Gruppo Salinas,2016,60,U.S.A.,2.75,Ecuador
49,49,Altus aka Cao Artisan,Sur del Lago,2013,60,U.S.A.,2.5,Venezuela
50,50,Altus aka Cao Artisan,Conacado,2013,60,U.S.A.,3.0,Dominican Republic
51,51,Altus aka Cao Artisan,Bolivia,2013,80,U.S.A.,3.25,Bolivia
52,52,Altus aka Cao Artisan,Bolivia,2013,60,U.S.A.,3.0,Bolivia
53,53,Altus aka Cao Artisan,Peru,2013,60,U.S.A.,3.25,Peru
